Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Walker Buehler","SDP",1,0,0,2,2,9.2,8.379310895940248,1.8620690879867217,0.9310345439933608,0.41935483870967744,0.95890411,0.5625,0.142857142,94.12857142857143,1.8620690879867217,4.076450769066131,3.1965123047301383,2.9303929851374275,0.21218211399185916,"Walker Buehler",19374,621111
"Tim Mayza","PHI",1,0,0,6,0,6,10.500001825392564,0,0,0.4,1,0.615384615,0,95.38946533203125,0,1.9717446322778467,0.7597302830880834,1.2562786271796182,0.21188606505697993,"Tim Mayza",15042,641835
"MacKenzie Gore","TEX",0,1,0,2,2,12,12,3.75,1.5,0.3333333333333333,0.77464789,0.3125,0.133333333,95.92671392205057,4.5,3.6268546235139865,3.8430640220642096,3.538453322028121,0.21172904080614313,"MacKenzie Gore",22201,669022
"Luke Weaver","NYM",0,0,0,5,0,5,10.8,0,0,0.09090909090909091,1,0.363636363,0,96.43700812844669,0,2.368436363516223,0.6930640220642093,2.480637750029564,0.21125234715117205,"Luke Weaver",16918,596133
"Louis Varland","TOR",1,1,5,7,0,7.2,14.086957689945196,2.3478262816575324,1.1739131408287662,0.26666666666666666,0.71428571,0.5625,0.166666666,99.34078588241186,3.521739422486299,2.8407993493339236,2.4408900549371166,1.911046790106008,0.20974328421583924,"Louis Varland",27691,686973
"Jonathan Bowlan","PHI",1,0,0,5,0,5.1,11.812500770087404,0,0,0.3076923076923077,0.75,0.615384615,0,97.57678430730647,0,1.523118097237313,0.4680638509336754,1.305989090543944,0.20971552096809043,"Jonathan Bowlan",24607,680742
"Michael Wacha","KCR",0,2,0,3,3,18.2,3.3750001149518187,0.9642857471290911,0.9642857471290911,0.3235294117647059,0.61983471,0.43076923,0.095238095,92.82562473842076,5.303571609210001,4.459921664333128,4.218064060381482,4.501057297130552,0.20802974687962222,"Michael Wacha",14078,608379
"Connor Prielipp","MIN",0,1,0,2,2,10.1,7.838709918566978,2.6129033061889926,0.8709677687296642,0.3333333333333333,0.66176471,0.29032258,0.083333333,95.32724434988839,5.225806612377985,4.965342357717827,3.770483397742837,4.242328955450825,0.20802417161161713,"Connor Prielipp",31857,687570
"Andrew Alvarez","WSN",0,0,0,2,2,8,10.125,6.75,0,0.4166666666666667,0.8125,0.583333333,0,91.59815588662791,3.375,4.412855919378955,3.093064022064209,4.024092005379498,0.20493512767921895,"Andrew Alvarez",29914,674841
"Ryan Feltner","COL",0,1,0,3,3,15,8.400000534057652,4.800000305175801,1.2000000762939502,0.225,0.63953488,0.404761904,0.125,94.61417643229167,5.400000343322776,4.672357655921295,4.759730794694695,4.615351877040091,0.19822404216964934,"Ryan Feltner",21446,663372
"Tatsuya Imai","HOU",1,0,0,2,2,5.2,14.294119401168048,6.352941956074688,0,0.5294117647058824,0.5,0.4375,0,95.12671770368304,11.117648423130705,3.5966780254008297,2.5636521923913183,3.8780448007209416,0.19071109800650307,"Tatsuya Imai",37124,837227
