Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jake Cronenworth","SDP",338,1147,1341,272,184,53,4,31,151,154,145,1,262,29,10,6,25,11,5,0.237140366,"Jake Cronenworth",18036,630105
"Ryan Ritter","COL",66,194,214,46,33,9,3,1,23,18,10,0,64,5,1,4,7,3,1,0.237113402,"Ryan Ritter",31500,690022
"Gavin Sheets","- - -",377,1232,1377,292,180,67,2,43,128,156,125,3,285,13,7,0,25,8,3,0.237012987,"Gavin Sheets",19901,657757
"Dylan Beavers","BAL",81,249,296,59,36,16,1,6,35,28,42,0,74,2,1,2,1,6,5,0.236947791,"Dylan Beavers",31695,687637
"Johan Rojas","PHI",191,490,535,116,92,15,5,4,70,50,26,0,109,4,3,12,9,37,6,0.236734693,"Johan Rojas",24336,679032
"Brandon Valenzuela","TOR",59,169,191,40,26,6,0,8,20,21,20,0,49,0,1,1,1,1,0,0.23668639,"Brandon Valenzuela",23813,678218
"Ian Happ","CHC",398,1488,1729,352,200,83,4,65,237,207,220,6,447,13,8,0,24,23,6,0.236559139,"Ian Happ",17919,664023
"David Villar","SFG",20,55,62,13,7,5,0,1,7,5,5,0,18,1,1,0,1,0,0,0.236363636,"David Villar",24782,681584
"Andrew Benintendi","CHW",337,1164,1290,275,170,51,4,50,147,174,107,4,248,4,13,1,21,5,2,0.236254295,"Andrew Benintendi",17901,643217
"Eli White","ATL",198,415,443,98,63,14,5,16,69,56,20,1,111,5,2,1,4,17,2,0.236144578,"Eli White",19346,642201
"Derek Hill","- - -",184,432,470,102,70,13,2,17,59,52,23,0,160,6,1,8,6,23,6,0.236111111,"Derek Hill",16947,656537
"Rowdy Tellez","- - -",251,682,744,161,101,29,0,31,74,109,49,0,175,5,8,0,21,2,0,0.236070381,"Rowdy Tellez",15679,642133
"Eugenio Suárez","- - -",387,1411,1576,333,173,67,2,91,206,255,119,2,473,27,19,0,23,6,3,0.236002834,"Eugenio Suarez",12552,553993
"Edwin Arroyo","CIN",36,106,114,25,21,3,1,0,11,4,3,0,24,3,1,1,0,0,1,0.235849056,"Edwin Arroyo",29957,695490
"Kyle McCann","OAK",54,140,157,33,24,4,0,5,13,15,16,1,59,1,0,0,2,0,0,0.235714285,"Kyle McCann",25575,668832
"Willy Adames","- - -",415,1570,1771,370,212,76,3,79,235,241,180,5,464,7,13,0,24,35,10,0.235668789,"Willy Adames",15986,642715
